Infinitive,умолка́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,умолка́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,умолка́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,умолка́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,умолка́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,умолка́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,умолка́ю
2nd Sing,умолка́ешь
3rd Sing,умолка́ет
1st Pl,умолка́ем
2nd Pl,умолка́ете
3rd Pl,умолка́ют
Past M,умолка́л
Past F,умолка́ла
Past N,умолка́ло
Past PL,умолка́ли
Imp S,умолка́й
Imp PL,умолка́йте
