Infinitive,уменьша́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,уменьша́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,уменьша́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,уменьша́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,уменьша́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,уменьша́юсь
2nd Sing,уменьша́ешься
3rd Sing,уменьша́ется
1st Pl,уменьша́емся
2nd Pl,уменьша́етесь
3rd Pl,уменьша́ются
Past M,уменьша́лся
Past F,уменьша́лась
Past N,уменьша́лось
Past PL,уменьша́лись
Imp S,уменьша́йся
Imp PL,уменьша́йтесь
