Infinitive,умножа́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,умножа́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,умножа́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,умножа́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,умножа́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,умножа́юсь
2nd Sing,умножа́ешься
3rd Sing,умножа́ется
1st Pl,умножа́емся
2nd Pl,умножа́етесь
3rd Pl,умножа́ются
Past M,умножа́лся
Past F,умножа́лась
Past N,умножа́лось
Past PL,умножа́лись
Imp S,умножа́йся
Imp PL,умножа́йтесь
