Infinitive,"уме́ньшить, уменьши́ть*"
Zaliznyak Class,4a // 4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,уме́ньшивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,short
PART:1:Participle Text,уменьши́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,уме́ньшенный
PART:2:Participle Type,passive
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,уменьшённый
PART:3:Participle Type,passive
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
PART:4:Participle Text,уме́ньшив
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,уменьши́в
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,уме́ньшу
2nd Sing,уме́ньшишь
3rd Sing,уме́ньшит
1st Pl,уме́ньшим
2nd Pl,уме́ньшите
3rd Pl,уме́ньшат
Past M,уме́ньшил
Past F,уме́ньшила
Past N,уме́ньшило
Past PL,уме́ньшили
Imp S,уме́ньши
Imp PL,уме́ньшите
