Infinitive,умертви́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,умертви́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,умерщвлённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,умертви́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,умертви́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,умерщвлю́
2nd Sing,умертви́шь
3rd Sing,умертви́т
1st Pl,умертви́м
2nd Pl,умертви́те
3rd Pl,умертвя́т
Past M,умертви́л
Past F,умертви́ла
Past N,умертви́ло
Past PL,умертви́ли
Imp S,умертви́
Imp PL,умертви́те
