Infinitive,о́хнуть
Zaliznyak Class,3a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,о́хнувший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,о́хнув
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,о́хнувши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,о́хну
2nd Sing,о́хнешь
3rd Sing,о́хнет
1st Pl,о́хнем
2nd Pl,о́хнете
3rd Pl,о́хнут
Past M,о́хнул
Past F,о́хнула
Past N,о́хнуло
Past PL,о́хнули
Imp S,о́хни
Imp PL,о́хните
