Infinitive,охо́титься
Zaliznyak Class,4a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,охо́тящийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,охо́тившийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,охо́тясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,охо́тившись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,охо́чусь
2nd Sing,охо́тишься
3rd Sing,охо́тится
1st Pl,охо́тимся
2nd Pl,охо́титесь
3rd Pl,охо́тятся
Past M,охо́тился
Past F,охо́тилась
Past N,охо́тилось
Past PL,охо́тились
Imp S,охо́ться
Imp PL,охо́тьтесь
