Infinitive,охраня́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,охраня́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,охраня́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,охраня́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,охраня́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,охраня́юсь
2nd Sing,охраня́ешься
3rd Sing,охраня́ется
1st Pl,охраня́емся
2nd Pl,охраня́етесь
3rd Pl,охраня́ются
Past M,охраня́лся
Past F,охраня́лась
Past N,охраня́лось
Past PL,охраня́лись
Imp S,охраня́йся
Imp PL,охраня́йтесь
