Infinitive,о́хать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,о́хающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,о́хавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,о́хая
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,о́хав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,о́хавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,о́хаю
2nd Sing,о́хаешь
3rd Sing,о́хает
1st Pl,о́хаем
2nd Pl,о́хаете
3rd Pl,о́хают
Past M,о́хал
Past F,о́хала
Past N,о́хало
Past PL,о́хали
Imp S,о́хай
Imp PL,о́хайте
