Infinitive,охри́пнуть
Zaliznyak Class,3°a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,охри́пший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,охри́пши
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,охри́пну
2nd Sing,охри́пнешь
3rd Sing,охри́пнет
1st Pl,охри́пнем
2nd Pl,охри́пнете
3rd Pl,охри́пнут
Past M,охри́п
Past F,охри́пла
Past N,охри́пло
Past PL,охри́пли
Imp S,охри́пни
Imp PL,охри́пните
