Infinitive,оха́ять
Zaliznyak Class,6a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,оха́явший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,оха́янный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,оха́яв
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,оха́явши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,оха́ю
2nd Sing,оха́ешь
3rd Sing,оха́ет
1st Pl,оха́ем
2nd Pl,оха́ете
3rd Pl,оха́ют
Past M,оха́ял
Past F,оха́яла
Past N,оха́яло
Past PL,оха́яли
Imp S,оха́й
Imp PL,оха́йте
