Infinitive,охладе́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,охладе́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,охладе́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,охладе́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,охладе́ю
2nd Sing,охладе́ешь
3rd Sing,охладе́ет
1st Pl,охладе́ем
2nd Pl,охладе́ете
3rd Pl,охладе́ют
Past M,охладе́л
Past F,охладе́ла
Past N,охладе́ло
Past PL,охладе́ли
Imp S,охладе́й
Imp PL,охладе́йте
