Infinitive,охва́тывать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,охва́тывающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,охва́тывавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,охва́тываемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,охва́тывая
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,охва́тывав
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,охва́тывавши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,охва́тываю
2nd Sing,охва́тываешь
3rd Sing,охва́тывает
1st Pl,охва́тываем
2nd Pl,охва́тываете
3rd Pl,охва́тывают
Past M,охва́тывал
Past F,охва́тывала
Past N,охва́тывало
Past PL,охва́тывали
Imp S,охва́тывай
Imp PL,охва́тывайте
