Infinitive,нале́чь
Zaliznyak Class,8a/b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,налёгший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,налёгши
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,наля́гу
2nd Sing,наля́жешь
3rd Sing,наля́жет
1st Pl,наля́жем
2nd Pl,наля́жете
3rd Pl,наля́гут
Past M,налёг
Past F,налегла́
Past N,налегло́
Past PL,налегли́
Imp S,наля́г
Imp PL,наля́гте
