Infinitive,нагрева́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,нагрева́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,нагрева́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,нагрева́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,нагрева́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,нагрева́юсь
2nd Sing,нагрева́ешься
3rd Sing,нагрева́ется
1st Pl,нагрева́емся
2nd Pl,нагрева́етесь
3rd Pl,нагрева́ются
Past M,нагрева́лся
Past F,нагрева́лась
Past N,нагрева́лось
Past PL,нагрева́лись
Imp S,нагрева́йся
Imp PL,нагрева́йтесь
