Infinitive,награди́ть
Zaliznyak Class,4b(-жд-)
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,награди́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,награждённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,награди́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,награди́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,награжу́
2nd Sing,награди́шь
3rd Sing,награди́т
1st Pl,награди́м
2nd Pl,награди́те
3rd Pl,наградя́т
Past M,награди́л
Past F,награди́ла
Past N,награди́ло
Past PL,награди́ли
Imp S,награди́
Imp PL,награди́те
