Infinitive,надува́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,надува́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,надува́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,надува́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,надува́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,надува́юсь
2nd Sing,надува́ешься
3rd Sing,надува́ется
1st Pl,надува́емся
2nd Pl,надува́етесь
3rd Pl,надува́ются
Past M,надува́лся
Past F,надува́лась
Past N,надува́лось
Past PL,надува́лись
Imp S,надува́йся
Imp PL,надува́йтесь
