Infinitive,надави́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,надави́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,нада́вленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,надави́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,надави́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,надавлю́
2nd Sing,нада́вишь
3rd Sing,нада́вит
1st Pl,нада́вим
2nd Pl,нада́вите
3rd Pl,нада́вят
Past M,надави́л
Past F,надави́ла
Past N,надави́ло
Past PL,надави́ли
Imp S,надави́
Imp PL,надави́те
