Infinitive,натопи́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,натопи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,нато́пленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,натопи́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,натопи́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,натоплю́
2nd Sing,нато́пишь
3rd Sing,нато́пит
1st Pl,нато́пим
2nd Pl,нато́пите
3rd Pl,нато́пят
Past M,натопи́л
Past F,натопи́ла
Past N,натопи́ло
Past PL,натопи́ли
Imp S,натопи́
Imp PL,натопи́те
