Infinitive,наня́ться
Zaliznyak Class,"14b/b*,b"
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,наня́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,наня́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,найму́сь
2nd Sing,наймёшься
3rd Sing,наймётся
1st Pl,наймёмся
2nd Pl,наймётесь
3rd Pl,найму́тся
Past M,нанялся́
Past F,наняла́сь
Past N,наняло́сь
Past PL,наняли́сь
Imp S,найми́сь
Imp PL,найми́тесь
