Infinitive,нашуме́ть
Zaliznyak Class,5b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,нашуме́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,нашуме́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,нашуме́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,нашумлю́
2nd Sing,нашуми́шь
3rd Sing,нашуми́т
1st Pl,нашуми́м
2nd Pl,нашуми́те
3rd Pl,нашумя́т
Past M,нашуме́л
Past F,нашуме́ла
Past N,нашуме́ло
Past PL,нашуме́ли
Imp S,нашуми́
Imp PL,нашуми́те
