Infinitive,называ́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,называ́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,называ́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,называ́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,называ́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,называ́юсь
2nd Sing,называ́ешься
3rd Sing,называ́ется
1st Pl,называ́емся
2nd Pl,называ́етесь
3rd Pl,называ́ются
Past M,называ́лся
Past F,называ́лась
Past N,называ́лось
Past PL,называ́лись
Imp S,называ́йся
Imp PL,называ́йтесь
