Infinitive,надава́ть
Zaliznyak Class,13b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,надава́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,надава́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,надава́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,надаю́
2nd Sing,надаёшь
3rd Sing,надаёт
1st Pl,надаём
2nd Pl,надаёте
3rd Pl,надаю́т
Past M,надава́л
Past F,надава́ла
Past N,надава́ло
Past PL,надава́ли
Imp S,надава́й
Imp PL,надава́йте
