Infinitive,нагруби́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,нагруби́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,нагруби́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,нагруби́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,нагрублю́
2nd Sing,нагруби́шь
3rd Sing,нагруби́т
1st Pl,нагруби́м
2nd Pl,нагруби́те
3rd Pl,нагрубя́т
Past M,нагруби́л
Past F,нагруби́ла
Past N,нагруби́ло
Past PL,нагруби́ли
Imp S,нагруби́
Imp PL,нагруби́те
