Infinitive,наде́ть
Zaliznyak Class,15a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,наде́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,наде́тый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,наде́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,наде́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,наде́ну
2nd Sing,наде́нешь
3rd Sing,наде́нет
1st Pl,наде́нем
2nd Pl,наде́нете
3rd Pl,наде́нут
Past M,наде́л
Past F,наде́ла
Past N,наде́ло
Past PL,наде́ли
Imp S,наде́нь
Imp PL,наде́ньте
