Infinitive,наве́сить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,наве́сивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,наве́шенный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,наве́сив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,наве́сивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,наве́шу
2nd Sing,наве́сишь
3rd Sing,наве́сит
1st Pl,наве́сим
2nd Pl,наве́сите
3rd Pl,наве́сят
Past M,наве́сил
Past F,наве́сила
Past N,наве́сило
Past PL,наве́сили
Imp S,наве́сь
Imp PL,наве́сьте
