Infinitive,наки́дываться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,наки́дывающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,наки́дывавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,наки́дываясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,наки́дывавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,наки́дываюсь
2nd Sing,наки́дываешься
3rd Sing,наки́дывается
1st Pl,наки́дываемся
2nd Pl,наки́дываетесь
3rd Pl,наки́дываются
Past M,наки́дывался
Past F,наки́дывалась
Past N,наки́дывалось
Past PL,наки́дывались
Imp S,наки́дывайся
Imp PL,наки́дывайтесь
