Infinitive,нава́ливаться
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,нава́ливавшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,нава́ливавшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,нава́ливаюсь
2nd Sing,нава́ливаешься
3rd Sing,нава́ливается
1st Pl,нава́ливаемся
2nd Pl,нава́ливаетесь
3rd Pl,нава́ливаются
Past M,нава́ливался
Past F,нава́ливалась
Past N,нава́ливалось
Past PL,нава́ливались
Imp S,нава́ливайся
Imp PL,нава́ливайтесь
