Infinitive,наме́титься
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,наме́тившийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,наме́тившись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,наме́чусь
2nd Sing,наме́тишься
3rd Sing,наме́тится
1st Pl,наме́тимся
2nd Pl,наме́титесь
3rd Pl,наме́тятся
Past M,наме́тился
Past F,наме́тилась
Past N,наме́тилось
Past PL,наме́тились
Imp S,наме́ться
Imp PL,наме́тьтесь
