Infinitive,нача́ть
Zaliznyak Class,14b/c①
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,нача́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,на́чатый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,нача́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,нача́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,начну́
2nd Sing,начнёшь
3rd Sing,начнёт
1st Pl,начнём
2nd Pl,начнёте
3rd Pl,начну́т
Past M,на́чал
Past F,начала́
Past N,на́чало
Past PL,на́чали
Imp S,начни́
Imp PL,начни́те
