Infinitive,набро́сить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,набро́сивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,набро́шенный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,набро́сив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,набро́сивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,набро́шу
2nd Sing,набро́сишь
3rd Sing,набро́сит
1st Pl,набро́сим
2nd Pl,набро́сите
3rd Pl,набро́сят
Past M,набро́сил
Past F,набро́сила
Past N,набро́сило
Past PL,набро́сили
Imp S,набро́сь
Imp PL,набро́сьте
