Infinitive,насла́ть
Zaliznyak Class,6b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,насла́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,на́сланный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,насла́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,насла́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,нашлю́
2nd Sing,нашлёшь
3rd Sing,нашлёт
1st Pl,нашлём
2nd Pl,нашлёте
3rd Pl,нашлю́т
Past M,насла́л
Past F,насла́ла
Past N,насла́ло
Past PL,насла́ли
Imp S,нашли́
Imp PL,нашли́те
