Infinitive,нахо́хлиться
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,нахо́хлившийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,нахо́хлившись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,нахо́хлюсь
2nd Sing,нахо́хлишься
3rd Sing,нахо́хлится
1st Pl,нахо́хлимся
2nd Pl,нахо́хлитесь
3rd Pl,нахо́хлятся
Past M,нахо́хлился
Past F,нахо́хлилась
Past N,нахо́хлилось
Past PL,нахо́хлились
Imp S,нахо́хлись
Imp PL,нахо́хлитесь
