Infinitive,ната́скивать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,ната́скивающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,ната́скивавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,ната́скиваемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,ната́скивая
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,ната́скивав
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,ната́скивавши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,ната́скиваю
2nd Sing,ната́скиваешь
3rd Sing,ната́скивает
1st Pl,ната́скиваем
2nd Pl,ната́скиваете
3rd Pl,ната́скивают
Past M,ната́скивал
Past F,ната́скивала
Past N,ната́скивало
Past PL,ната́скивали
Imp S,ната́скивай
Imp PL,ната́скивайте
