Infinitive,ната́лкиваться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,ната́лкивающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,ната́лкивавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,ната́лкиваясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,ната́лкивавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,ната́лкиваюсь
2nd Sing,ната́лкиваешься
3rd Sing,ната́лкивается
1st Pl,ната́лкиваемся
2nd Pl,ната́лкиваетесь
3rd Pl,ната́лкиваются
Past M,ната́лкивался
Past F,ната́лкивалась
Past N,ната́лкивалось
Past PL,ната́лкивались
Imp S,ната́лкивайся
Imp PL,ната́лкивайтесь
