Infinitive,нацара́пать
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,нацара́павший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,нацара́панный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,нацара́пав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,нацара́павши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,нацара́паю
2nd Sing,нацара́паешь
3rd Sing,нацара́пает
1st Pl,нацара́паем
2nd Pl,нацара́паете
3rd Pl,нацара́пают
Past M,нацара́пал
Past F,нацара́пала
Past N,нацара́пало
Past PL,нацара́пали
Imp S,нацара́пай
Imp PL,нацара́пайте
