Infinitive,наступа́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,наступа́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,наступа́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,наступа́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,наступа́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,наступа́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,наступа́ю
2nd Sing,наступа́ешь
3rd Sing,наступа́ет
1st Pl,наступа́ем
2nd Pl,наступа́ете
3rd Pl,наступа́ют
Past M,наступа́л
Past F,наступа́ла
Past N,наступа́ло
Past PL,наступа́ли
Imp S,наступа́й
Imp PL,наступа́йте
