Infinitive,намеча́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,намеча́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,намеча́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,намеча́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,намеча́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,намеча́юсь
2nd Sing,намеча́ешься
3rd Sing,намеча́ется
1st Pl,намеча́емся
2nd Pl,намеча́етесь
3rd Pl,намеча́ются
Past M,намеча́лся
Past F,намеча́лась
Past N,намеча́лось
Past PL,намеча́лись
Imp S,намеча́йся
Imp PL,намеча́йтесь
