Infinitive,нацепи́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,нацепи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,наце́пленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,нацепи́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,нацепи́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,нацеплю́
2nd Sing,наце́пишь
3rd Sing,наце́пит
1st Pl,наце́пим
2nd Pl,наце́пите
3rd Pl,наце́пят
Past M,нацепи́л
Past F,нацепи́ла
Past N,нацепи́ло
Past PL,нацепи́ли
Imp S,нацепи́
Imp PL,нацепи́те
