Infinitive,наде́лать
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,наде́лавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,наде́ланный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,наде́лав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,наде́лавши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,наде́лаю
2nd Sing,наде́лаешь
3rd Sing,наде́лает
1st Pl,наде́лаем
2nd Pl,наде́лаете
3rd Pl,наде́лают
Past M,наде́лал
Past F,наде́лала
Past N,наде́лало
Past PL,наде́лали
Imp S,наде́лай
Imp PL,наде́лайте
