Infinitive,навью́чить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,навью́чивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,навью́ченный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,навью́чив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,навью́чивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,навью́чу
2nd Sing,навью́чишь
3rd Sing,навью́чит
1st Pl,навью́чим
2nd Pl,навью́чите
3rd Pl,навью́чат
Past M,навью́чил
Past F,навью́чила
Past N,навью́чило
Past PL,навью́чили
Imp S,навью́чь
Imp PL,навью́чьте
