Infinitive,накра́сить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,накра́сивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,накра́шенный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,накра́сив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,накра́сивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,накра́шу
2nd Sing,накра́сишь
3rd Sing,накра́сит
1st Pl,накра́сим
2nd Pl,накра́сите
3rd Pl,накра́сят
Past M,накра́сил
Past F,накра́сила
Past N,накра́сило
Past PL,накра́сили
Imp S,накра́сь
Imp PL,накра́сьте
