Infinitive,наки́нуться
Zaliznyak Class,3a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,наки́нувшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,наки́нувшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,наки́нусь
2nd Sing,наки́нешься
3rd Sing,наки́нется
1st Pl,наки́немся
2nd Pl,наки́нетесь
3rd Pl,наки́нутся
Past M,наки́нулся
Past F,наки́нулась
Past N,наки́нулось
Past PL,наки́нулись
Imp S,наки́нься
Imp PL,наки́ньтесь
