Infinitive,напои́ть
Zaliznyak Class,4c // 4b⑧
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,напои́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,напо́енный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,напои́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,напои́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,напою́
2nd Sing,напо́ишь
3rd Sing,напо́ит
1st Pl,напо́им
2nd Pl,напо́ите
3rd Pl,напо́ят
Past M,напои́л
Past F,напои́ла
Past N,напои́ло
Past PL,напои́ли
Imp S,напои́
Imp PL,напои́те
