Infinitive,наду́ть
Zaliznyak Class,12a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,наду́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,наду́тый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,наду́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,наду́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,наду́ю
2nd Sing,наду́ешь
3rd Sing,наду́ет
1st Pl,наду́ем
2nd Pl,наду́ете
3rd Pl,наду́ют
Past M,наду́л
Past F,наду́ла
Past N,наду́ло
Past PL,наду́ли
Imp S,наду́й
Imp PL,наду́йте
