Infinitive,наве́даться
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,наве́давшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,наве́давшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,наве́даюсь
2nd Sing,наве́даешься
3rd Sing,наве́дается
1st Pl,наве́даемся
2nd Pl,наве́даетесь
3rd Pl,наве́даются
Past M,наве́дался
Past F,наве́далась
Past N,наве́далось
Past PL,наве́дались
Imp S,наве́дайся
Imp PL,наве́дайтесь
