Infinitive,накопи́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,накопи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,нако́пленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,накопи́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,накопи́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,накоплю́
2nd Sing,нако́пишь
3rd Sing,нако́пит
1st Pl,нако́пим
2nd Pl,нако́пите
3rd Pl,нако́пят
Past M,накопи́л
Past F,накопи́ла
Past N,накопи́ло
Past PL,накопи́ли
Imp S,накопи́
Imp PL,накопи́те
