Infinitive,нагрузи́ть
Zaliznyak Class,4c // 4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,нагрузи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,нагру́женный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,нагружённый
PART:2:Participle Type,passive
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
PART:3:Participle Text,нагрузи́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,нагрузи́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,нагружу́
2nd Sing,нагру́зишь
3rd Sing,нагру́зит
1st Pl,нагру́зим
2nd Pl,нагру́зите
3rd Pl,нагру́зят
Past M,нагрузи́л
Past F,нагрузи́ла
Past N,нагрузи́ло
Past PL,нагрузи́ли
Imp S,нагрузи́
Imp PL,нагрузи́те
