Infinitive,наполза́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,наполза́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,наполза́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,наполза́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,наполза́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,наполза́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,наполза́ю
2nd Sing,наполза́ешь
3rd Sing,наполза́ет
1st Pl,наполза́ем
2nd Pl,наполза́ете
3rd Pl,наполза́ют
Past M,наполза́л
Past F,наполза́ла
Past N,наполза́ло
Past PL,наполза́ли
Imp S,наполза́й
Imp PL,наполза́йте
