Infinitive,начи́стить
Zaliznyak Class,4a[②]
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,начи́стивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,начи́щенный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,начи́стив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,начи́стивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,начи́щу
2nd Sing,начи́стишь
3rd Sing,начи́стит
1st Pl,начи́стим
2nd Pl,начи́стите
3rd Pl,начи́стят
Past M,начи́стил
Past F,начи́стила
Past N,начи́стило
Past PL,начи́стили
Imp S,начи́сти
Imp PL,начи́стите
