Infinitive,нали́пнуть
Zaliznyak Class,3°a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,нали́пший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,нали́пши
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,нали́пну
2nd Sing,нали́пнешь
3rd Sing,нали́пнет
1st Pl,нали́пнем
2nd Pl,нали́пнете
3rd Pl,нали́пнут
Past M,нали́п
Past F,нали́пла
Past N,нали́пло
Past PL,нали́пли
Imp S,нали́пни
Imp PL,нали́пните
