Infinitive,надруга́ться
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,надруга́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,надруга́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,надруга́юсь
2nd Sing,надруга́ешься
3rd Sing,надруга́ется
1st Pl,надруга́емся
2nd Pl,надруга́етесь
3rd Pl,надруга́ются
Past M,надруга́лся
Past F,надруга́лась
Past N,надруга́лось
Past PL,надруга́лись
Imp S,надруга́йся
Imp PL,надруга́йтесь
