Infinitive,набуха́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,набуха́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,набуха́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,набуха́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,набуха́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,набуха́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,набуха́ю
2nd Sing,набуха́ешь
3rd Sing,набуха́ет
1st Pl,набуха́ем
2nd Pl,набуха́ете
3rd Pl,набуха́ют
Past M,набуха́л
Past F,набуха́ла
Past N,набуха́ло
Past PL,набуха́ли
Imp S,набуха́й
Imp PL,набуха́йте
