Infinitive,наску́чить
Zaliznyak Class,4a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,наску́чивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,наску́чив
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,наску́чивши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,наску́чу
2nd Sing,наску́чишь
3rd Sing,наску́чит
1st Pl,наску́чим
2nd Pl,наску́чите
3rd Pl,наску́чат
Past M,наску́чил
Past F,наску́чила
Past N,наску́чило
Past PL,наску́чили
Imp S,наску́чь
Imp PL,наску́чьте
