Infinitive,набу́хнуть
Zaliznyak Class,3°a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,набу́хший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,набу́хши
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,набу́хну
2nd Sing,набу́хнешь
3rd Sing,набу́хнет
1st Pl,набу́хнем
2nd Pl,набу́хнете
3rd Pl,набу́хнут
Past M,набу́х
Past F,набу́хла
Past N,набу́хло
Past PL,набу́хли
Imp S,набу́хни
Imp PL,набу́хните
