Infinitive,наказа́ть
Zaliznyak Class,6c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,наказа́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,нака́занный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,наказа́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,наказа́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,накажу́
2nd Sing,нака́жешь
3rd Sing,нака́жет
1st Pl,нака́жем
2nd Pl,нака́жете
3rd Pl,нака́жут
Past M,наказа́л
Past F,наказа́ла
Past N,наказа́ло
Past PL,наказа́ли
Imp S,накажи́
Imp PL,накажи́те
