Infinitive,налома́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,налома́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,нало́манный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,налома́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,налома́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,налома́ю
2nd Sing,налома́ешь
3rd Sing,налома́ет
1st Pl,налома́ем
2nd Pl,налома́ете
3rd Pl,налома́ют
Past M,налома́л
Past F,налома́ла
Past N,налома́ло
Past PL,налома́ли
Imp S,налома́й
Imp PL,налома́йте
