Infinitive,назре́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,назре́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,назре́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,назре́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,назре́ю
2nd Sing,назре́ешь
3rd Sing,назре́ет
1st Pl,назре́ем
2nd Pl,назре́ете
3rd Pl,назре́ют
Past M,назре́л
Past F,назре́ла
Past N,назре́ло
Past PL,назре́ли
Imp S,назре́й
Imp PL,назре́йте
