Infinitive,нави́снуть
Zaliznyak Class,3°a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,нави́сший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,нави́сши
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,нави́сну
2nd Sing,нави́снешь
3rd Sing,нави́снет
1st Pl,нави́снем
2nd Pl,нави́снете
3rd Pl,нави́снут
Past M,нави́с
Past F,нави́сла
Past N,нави́сло
Past PL,нави́сли
Imp S,нави́сни
Imp PL,нави́сните
