Infinitive,нащу́пать
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,нащу́павший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,нащу́панный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,нащу́пав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,нащу́павши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,нащу́паю
2nd Sing,нащу́паешь
3rd Sing,нащу́пает
1st Pl,нащу́паем
2nd Pl,нащу́паете
3rd Pl,нащу́пают
Past M,нащу́пал
Past F,нащу́пала
Past N,нащу́пало
Past PL,нащу́пали
Imp S,нащу́пай
Imp PL,нащу́пайте
