Infinitive,настро́иться
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,настро́ившийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,настро́ившись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,настро́юсь
2nd Sing,настро́ишься
3rd Sing,настро́ится
1st Pl,настро́имся
2nd Pl,настро́итесь
3rd Pl,настро́ятся
Past M,настро́ился
Past F,настро́илась
Past N,настро́илось
Past PL,настро́ились
Imp S,настро́йся
Imp PL,настро́йтесь
