Infinitive,наноси́ться
Zaliznyak Class,4c
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,нанося́щийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,наноси́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,нанося́сь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,наноси́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,наношу́сь
2nd Sing,нано́сишься
3rd Sing,нано́сится
1st Pl,нано́симся
2nd Pl,нано́ситесь
3rd Pl,нано́сятся
Past M,наноси́лся
Past F,наноси́лась
Past N,наноси́лось
Past PL,наноси́лись
Imp S,наноси́сь
Imp PL,наноси́тесь
