Infinitive,наби́ться
Zaliznyak Class,11b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,наби́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,наби́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,набью́сь
2nd Sing,набьёшься
3rd Sing,набьётся
1st Pl,набьёмся
2nd Pl,набьётесь
3rd Pl,набью́тся
Past M,наби́лся
Past F,наби́лась
Past N,наби́лось
Past PL,наби́лись
Imp S,набе́йся
Imp PL,набе́йтесь
