Infinitive,накаля́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,накаля́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,накаля́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,накаля́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,накаля́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,накаля́юсь
2nd Sing,накаля́ешься
3rd Sing,накаля́ется
1st Pl,накаля́емся
2nd Pl,накаля́етесь
3rd Pl,накаля́ются
Past M,накаля́лся
Past F,накаля́лась
Past N,накаля́лось
Past PL,накаля́лись
Imp S,накаля́йся
Imp PL,накаля́йтесь
